sample super_pop pop admixture value
HG01565 AMR PEL EAS 1e-05
HG01565 AMR PEL AMR 0.673934
HG01565 AMR PEL AFR 1e-05
HG01565 AMR PEL EUR 0.282667
HG01565 AMR PEL SAS 0.043379
HG01566 AMR PEL EAS 0.006273
HG01566 AMR PEL AMR 0.456848
HG01566 AMR PEL AFR 0.020787
HG01566 AMR PEL EUR 0.467647
HG01566 AMR PEL SAS 0.048445
HG01571 AMR PEL EAS 1e-05
HG01571 AMR PEL AMR 0.655147
HG01571 AMR PEL AFR 0.000456
HG01571 AMR PEL EUR 0.287396
HG01571 AMR PEL SAS 0.056992
HG01572 AMR PEL EAS 1e-05
HG01572 AMR PEL AMR 0.98321
HG01572 AMR PEL AFR 1e-05
HG01572 AMR PEL EUR 0.01676
HG01572 AMR PEL SAS 1e-05
HG01577 AMR PEL EAS 1e-05
HG01577 AMR PEL AMR 0.438439
HG01577 AMR PEL AFR 0.072291
HG01577 AMR PEL EUR 0.397916
HG01577 AMR PEL SAS 0.091344
HG01578 AMR PEL EAS 0.002469
HG01578 AMR PEL AMR 0.60622
HG01578 AMR PEL AFR 0.012066
HG01578 AMR PEL EUR 0.346575
HG01578 AMR PEL SAS 0.032669
HG01879 AFR ACB EAS 0.044653
HG01879 AFR ACB AMR 1e-05
HG01879 AFR ACB AFR 0.845325
HG01879 AFR ACB EUR 0.108536
HG01879 AFR ACB SAS 0.001477
HG01880 AFR ACB EAS 0.059126
HG01880 AFR ACB AMR 1e-05
HG01880 AFR ACB AFR 0.56296
HG01880 AFR ACB EUR 0.055125
HG01880 AFR ACB SAS 0.322779
HG01882 AFR ACB EAS 1e-05
HG01882 AFR ACB AMR 1e-05
HG01882 AFR ACB AFR 0.97748
HG01882 AFR ACB EUR 0.02249
HG01882 AFR ACB SAS 1e-05
HG01883 AFR ACB EAS 0.005803
HG01883 AFR ACB AMR 0.013033
HG01883 AFR ACB AFR 0.886784
HG01883 AFR ACB EUR 0.082069
HG01883 AFR ACB SAS 0.012311
HG01885 AFR ACB EAS 1e-05
HG01885 AFR ACB AMR 1e-05
HG01885 AFR ACB AFR 0.967482
HG01885 AFR ACB EUR 0.032488
HG01885 AFR ACB SAS 1e-05
HG01886 AFR ACB EAS 0.007981
HG01886 AFR ACB AMR 0.004134
HG01886 AFR ACB AFR 0.906054
HG01886 AFR ACB EUR 0.060677
HG01886 AFR ACB SAS 0.021153
HG01889 AFR ACB EAS 0.008494
HG01889 AFR ACB AMR 1e-05
HG01889 AFR ACB AFR 0.991476
HG01889 AFR ACB EUR 1e-05
HG01889 AFR ACB SAS 1e-05
HG01890 AFR ACB EAS 1e-05
HG01890 AFR ACB AMR 1e-05
HG01890 AFR ACB AFR 0.871106
HG01890 AFR ACB EUR 0.094879
HG01890 AFR ACB SAS 0.033995
HG01892 AMR PEL EAS 0.029121
HG01892 AMR PEL AMR 0.686508
HG01892 AMR PEL AFR 0.088111
HG01892 AMR PEL EUR 0.184498
HG01892 AMR PEL SAS 0.011761
HG01893 AMR PEL EAS 1e-05
HG01893 AMR PEL AMR 0.577195
HG01893 AMR PEL AFR 0.133211
HG01893 AMR PEL EUR 0.274975
HG01893 AMR PEL SAS 0.014609
HG01894 AFR ACB EAS 1e-05
HG01894 AFR ACB AMR 1e-05
HG01894 AFR ACB AFR 0.937331
HG01894 AFR ACB EUR 0.060099
HG01894 AFR ACB SAS 0.002549
HG01896 AFR ACB EAS 1e-05
HG01896 AFR ACB AMR 1e-05
HG01896 AFR ACB AFR 0.99996
HG01896 AFR ACB EUR 1e-05
HG01896 AFR ACB SAS 1e-05
HG01912 AFR ACB EAS 1e-05
HG01912 AFR ACB AMR 0.00392
HG01912 AFR ACB AFR 0.915775
HG01912 AFR ACB EUR 0.080286
HG01912 AFR ACB SAS 1e-05
HG01914 AFR ACB EAS 0.008818
HG01914 AFR ACB AMR 0.007633
HG01914 AFR ACB AFR 0.86486
HG01914 AFR ACB EUR 0.108442
HG01914 AFR ACB SAS 0.010247
HG01915 AFR ACB EAS 1e-05
HG01915 AFR ACB AMR 0.00855
HG01915 AFR ACB AFR 0.95099
HG01915 AFR ACB EUR 0.020089
HG01915 AFR ACB SAS 0.020362
HG01917 AMR PEL EAS 0.014781
HG01917 AMR PEL AMR 0.819689
HG01917 AMR PEL AFR 0.007062
HG01917 AMR PEL EUR 0.158458
HG01917 AMR PEL SAS 1e-05
HG01918 AMR PEL EAS 0.000393
HG01918 AMR PEL AMR 0.814797
HG01918 AMR PEL AFR 1e-05
HG01918 AMR PEL EUR 0.172191
HG01918 AMR PEL SAS 0.012609
HG01920 AMR PEL EAS 1e-05
HG01920 AMR PEL AMR 0.999956
HG01920 AMR PEL AFR 1e-05
HG01920 AMR PEL EUR 1.4e-05
HG01920 AMR PEL SAS 1e-05
HG01921 AMR PEL EAS 0.030246
HG01921 AMR PEL AMR 0.771352
HG01921 AMR PEL AFR 1e-05
HG01921 AMR PEL EUR 0.176589
HG01921 AMR PEL SAS 0.021803
HG01923 AMR PEL EAS 1e-05
HG01923 AMR PEL AMR 0.982549
HG01923 AMR PEL AFR 1e-05
HG01923 AMR PEL EUR 0.017421
HG01923 AMR PEL SAS 1e-05
HG01924 AMR PEL EAS 0.058011
HG01924 AMR PEL AMR 0.713274
HG01924 AMR PEL AFR 0.110877
HG01924 AMR PEL EUR 0.083507
HG01924 AMR PEL SAS 0.03433
HG01926 AMR PEL EAS 1e-05
HG01926 AMR PEL AMR 0.99996
HG01926 AMR PEL AFR 1e-05
HG01926 AMR PEL EUR 1e-05
HG01926 AMR PEL SAS 1e-05
HG01927 AMR PEL EAS 1e-05
HG01927 AMR PEL AMR 0.985213
HG01927 AMR PEL AFR 1e-05
HG01927 AMR PEL EUR 0.014757
HG01927 AMR PEL SAS 1e-05
HG01932 AMR PEL EAS 1e-05
HG01932 AMR PEL AMR 0.791741
HG01932 AMR PEL AFR 0.009324
HG01932 AMR PEL EUR 0.193982
HG01932 AMR PEL SAS 0.004944
HG01933 AMR PEL EAS 0.0293
HG01933 AMR PEL AMR 0.651094
HG01933 AMR PEL AFR 0.092683
HG01933 AMR PEL EUR 0.186512
HG01933 AMR PEL SAS 0.04041
HG01935 AMR PEL EAS 1e-05
HG01935 AMR PEL AMR 0.696572
HG01935 AMR PEL AFR 0.011983
HG01935 AMR PEL EUR 0.271492
HG01935 AMR PEL SAS 0.019943
HG01936 AMR PEL EAS 1e-05
HG01936 AMR PEL AMR 0.667827
HG01936 AMR PEL AFR 0.034221
HG01936 AMR PEL EUR 0.250696
HG01936 AMR PEL SAS 0.047246
HG01938 AMR PEL EAS 1e-05
HG01938 AMR PEL AMR 0.99996
HG01938 AMR PEL AFR 1e-05
HG01938 AMR PEL EUR 1e-05
HG01938 AMR PEL SAS 1e-05
HG01939 AMR PEL EAS 1e-05
HG01939 AMR PEL AMR 0.820265
HG01939 AMR PEL AFR 0.001467
HG01939 AMR PEL EUR 0.178247
HG01939 AMR PEL SAS 1e-05
HG01941 AMR PEL EAS 0.015899
HG01941 AMR PEL AMR 0.812256
HG01941 AMR PEL AFR 0.062187
HG01941 AMR PEL EUR 0.062109
HG01941 AMR PEL SAS 0.047549
HG01942 AMR PEL EAS 0.003535
HG01942 AMR PEL AMR 0.854895
HG01942 AMR PEL AFR 1e-05
HG01942 AMR PEL EUR 0.106227
HG01942 AMR PEL SAS 0.035334
HG01944 AMR PEL EAS 0.348107
HG01944 AMR PEL AMR 0.552834
HG01944 AMR PEL AFR 0.005747
HG01944 AMR PEL EUR 0.037915
HG01944 AMR PEL SAS 0.055397
HG01945 AMR PEL EAS 0.018604
HG01945 AMR PEL AMR 0.809588
HG01945 AMR PEL AFR 0.003195
HG01945 AMR PEL EUR 0.147659
HG01945 AMR PEL SAS 0.020953
HG01947 AMR PEL EAS 1e-05
HG01947 AMR PEL AMR 0.608395
HG01947 AMR PEL AFR 0.035319
HG01947 AMR PEL EUR 0.272319
HG01947 AMR PEL SAS 0.083958
HG01948 AMR PEL EAS 0.049647
HG01948 AMR PEL AMR 0.663484
HG01948 AMR PEL AFR 0.15251
HG01948 AMR PEL EUR 0.014592
HG01948 AMR PEL SAS 0.119766
HG01950 AMR PEL EAS 0.008941
HG01950 AMR PEL AMR 0.846398
HG01950 AMR PEL AFR 0.063493
HG01950 AMR PEL EUR 0.081122
HG01950 AMR PEL SAS 4.7e-05
HG01951 AMR PEL EAS 1e-05
HG01951 AMR PEL AMR 0.971454
HG01951 AMR PEL AFR 0.018904
HG01951 AMR PEL EUR 1e-05
HG01951 AMR PEL SAS 0.009622
HG01953 AMR PEL EAS 1e-05
